;; Columns:  x_i  y_i  sigma_yi 

0          72.753          69.760         
1          85.975          72.119         
2          19.438          41.754         
3          90.682          46.868         
4          -53.842         48.558         
5          93.636          32.466         
6          61.149          31.793         
7          -18.952         51.625         
8          -7.708          61.289         
9          80.120          44.935         
10         83.483          42.921         
11         37.698          39.264         
12         49.396          68.432         
13         162.418         56.321         
14         69.680          37.059         
15         92.418          73.904         
16         138.751         57.025         
17         129.127         36.492         
18         107.745         59.067         
19         8.418           58.291         
20         53.743          31.736         
21         120.400         26.125         
22         84.304          38.110         
23         133.014         30.826         
24         79.398          28.466         
25         153.136         67.647         
26         146.609         34.017         
27         138.512         26.621         
28         69.081          61.696         
29         116.804         51.826         
30         155.147         38.801         
31         72.147          43.423         
32         126.413         25.644         
33         72.750          69.460         
34         219.253         68.301         
35         219.223         37.712         
36         195.115         53.474         
37         135.747         32.963         
38         176.123         54.718         
39         157.513         41.555         
40         120.569         57.931         
41         196.765         68.182         
42         182.259         53.381         
43         95.728          74.024         
44         138.676         64.592         
45         176.934         32.630         
46         232.843         66.651         
47         149.214         34.593         
48         161.571         56.949         
49         170.638         58.450         
50         264.547         63.604         
51         282.717         43.991         
52         275.601         47.079         
53         256.416         49.153         
54         232.908         55.405         
55         220.353         33.800         
56         183.554         25.101         
57         197.420         64.511         
58         226.534         50.680         
59         238.946         35.661         
60         203.580         30.172         
61         215.356         32.867         
62         265.728         45.376         
63         189.655         45.388         
64         225.370         27.635         
65         269.540         72.091         
66         303.085         32.499         
67         209.869         44.219         
68         284.968         40.553         
69         236.138         33.427         
70         244.106         69.832         
71         244.427         41.136         
72         350.084         61.700         
73         314.700         45.545         
74         184.084         44.990         
75         263.853         50.276         
76         303.725         33.465         
77         208.655         51.237         
78         279.808         57.060         
79         283.816         25.810         
80         331.005         66.843         
81         244.440         65.173         
82         309.181         59.889         
83         282.513         48.094         
84         269.613         29.131         
85         288.623         66.036         
86         301.333         34.651         
87         306.623         47.268         
88         315.874         25.648         
89         262.562         40.437         
90         405.251         68.768         
91         421.605         66.763         
92         331.132         41.655         
93         288.710         69.035         
94         353.269         48.984         
95         324.756         53.041         
96         352.823         55.795         
97         250.269         58.095         
98         449.774         55.832         
99         378.201         59.257         
